268  |HD 19923B                          |7.3048    |     ~   |9.29     |8.87     |     ~   |     ~   |F3V              
269  |HD 20692                           |6.8935    |     ~   |8.91     |8.39     |     ~   |     ~   |F5V              
270  |2MASS J03190760+3934105            |6.9558    |     ~   |12.59    |11.41    |     ~   |     ~   |K0V              
271  |LP 198-637                         |      ~   |     ~   |12.74    |11.31    |10.82    |     ~   |M1.5V            
272  |V* V1973 Cyg                       |2.7882    |     ~   |10.21    |10.01    |     ~   |     ~   |A3V              
273  |BD+40 4179                         |0.5034    |9.79     |10.21    |9.71     |     ~   |     ~   |O8Vz             
274  |HD 193247                          |1.3984    |     ~   |8.90     |8.78     |     ~   |     ~   |A2V              
275  |HD 229125                          |1.8168    |     ~   |9.88     |9.77     |     ~   |     ~   |A2V              
276  |HD 229211                          |1.4698    |     ~   |9.133    |8.94     |     ~   |     ~   |A3V              
277  |HD 194685                          |      ~   |     ~   |     ~   |     ~   |8.70     |     ~   |F8V              
278  |[CPR2002] A38                      |0.5805    |     ~   |     ~   |     ~   |12.65    |     ~   |O8V              
279  |HD 193839                          |2.08      |     ~   |9.15     |8.91     |     ~   |     ~   |A5V              
280  |NAME HD 193702AB                   |5.2288    |     ~   |6.38     |6.33     |     ~   |     ~   |A0V              
281  |HD 194008                          |2.091     |     ~   |9.17     |9.06     |     ~   |     ~   |A1V              
282  |HD 193702                          |5.54      |     ~   |     ~   |     ~   |     ~   |     ~   |A1V              
283  |2MASS J20253741+3924380            |0.2902    |     ~   |     ~   |     ~   |     ~   |     ~   |O4V              
284  |2MASS J20271064+3926280            |      ~   |     ~   |     ~   |     ~   |     ~   |     ~   |O7.5V            
285  |[CPR2002] A10                      |0.5835    |     ~   |     ~   |     ~   |     ~   |     ~   |O9V              
286  |HD 229250                          |0.7287    |11.15    |10.98    |9.98     |     ~   |     ~   |O9V              
287  |HD 195987                          |45.7485   |     ~   |7.89     |     ~   |6.6      |     ~   |G9V              
